Year (July 1),Population,Yearly % Change,Yearly Change,Median Age,Fertility Rate,Density (P/KmÂ²)
2026,8300678395,0.84%,69065325,31.1,2.23,56
2025,8231613070,0.85%,69640498,30.9,2.24,55
2024,8161972572,0.87%,70237642,30.6,2.25,55
2023,8091734930,0.88%,70327738,30.4,2.25,54
2022,8021407192,0.84%,66958801,30.1,2.27,54
2021,7954448391,0.86%,67447099,29.8,2.29,53
2020,7887001292,1.09%,83301884,29.6,2.32,53
2015,7470491872,1.25%,89751945,28.3,2.54,50
2010,7021732148,1.29%,86952403,27.2,2.6,47
2005,6586970132,1.31%,83053428,26.1,2.63,44
2000,6171702993,1.39%,82564802,25.1,2.75,41
1995,5758878982,1.57%,86215174,24.0,2.89,39
1990,5327803110,1.82%,91771929,22.9,3.31,36
1985,4868943465,1.83%,84267446,22.0,3.52,33
1980,4447606236,1.79%,75374192,21.5,3.74,30
1975,4070735277,1.96%,75210297,20.7,4.08,27
1970,3694683794,2.07%,72030018,20.3,4.83,25
1965,3334533703,2.03%,63812562,20.8,5.07,22
1960,3015470894,1.93%,55051420,21.5,4.7,20
1955,2740213792,1.91%,49424189,21.8,5.0,18
